"","MeanPP","MeanMM","MeanMP"
"ZNF571",0,225.656765911493,184.476808561236
"FUT7",0,44.3226790723222,54.4166252145502
"CLDN7",0,27.1371048686815,35.8239691905717
"SPNS3",0,31.3771800645514,15.6132374178774
"TRMT12",96.5164348701356,71.3489232416427,1.75769932745588
"SH2D1A",3.06563621623707,1024.74058674537,231.424859258833
"BEX5",0.454690790256231,48.0419822803005,0.586503659313631
"ZNF445",3.67346625574801,33.4195949412123,91.8095597103782
"LRRC70",0.147912916211415,33.3057089988529,11.0523029419273
"GNG2",31.5203351133666,687.638100415249,248.607588816017
"ZSCAN30",3.00728783878267,46.3818087016335,71.6628836572715
"TTC24",0,25.8500543566001,0
"CYP51A1-AS1",0,2.81144263321113,11.3000609022838
"ZNF765",13.1806904722612,156.922956754458,5.16944456849384
"MVB12B",0,49.8410344603252,3.66705996013562
"ENPP1",1.59240812822034,115.528728275897,34.4365504029487
"DPP4",0,541.342626493932,147.105576808123
"ADAMTSL2",0,78.3273559999647,3.51902195588179
"CXorf65",0,13.5643438352412,2.32985209896538
"LAYN",1042.87912017968,12.0098035377556,124.049120511105
"KRTAP16-1",0,33.5854056517164,3.85076175503067
"MAP10",0,31.0899256675852,0
"TNFRSF25",0,51.8937194652682,0
"PLXNA4",16.5826855484319,225.489937277823,66.5409213357047
"SLC12A8",4081.27822647754,358.802916286659,2532.33366487636
"KIR2DS4",5341.17376128874,145.181982135824,2933.75465999638
"ITGB2-AS1",0,27.554643531827,24.4894313163948
"AL031736.1",0,22.0809436571363,16.3297986280904
"WASIR2",0,21.1937209128905,5.20042722507444
"AC139769.1",0,21.1683177165428,1.17300731862726
"LINC01934",0.214755784017531,35.0597781701471,13.5171666630877
"LINC01871",9.2171777533687,163.040782787092,35.9160540632042
"LINC01684",5.4059005164584,90.9686082983052,109.398787929406
"PRKCQ-AS1",0,181.707393893475,53.8778774954117
"LINC01679",0.227345395128115,33.0998806796527,0
"BX284668.5",0.443738748634246,6.49334683214933,10.4780112048924
"KIR2DP1",737.980886548838,3.48807163215522,359.219844128082
"KIR2DL3",11389.3623327726,14.5646847545818,7697.24170171343
"WDR86-AS1",0,15.4056758948873,0
"AP000787.1",0,15.1924376477858,0
"CRNDE",21.8781804188237,0.232538108810348,0
"HHIP-AS1",134.345644251205,0,35.0200783255347
"LINC01094",0.200390344359585,0.18666796488014,27.0317890105657
"MINCR",0,37.4966543938965,15.2526255203909
"AC136475.3",0,18.6949603804484,0.205370420054799
"AL135818.1",24.7644565263115,54.6732125981465,1.86252101077717
"LINC01686",0,13.5450280333466,0
"AC127521.1",0,52.2700591038845,5.84434492863462
"LINC00672",1.78590703615897,17.0452409638107,45.9486599094262
"ZNF582-AS1",0,73.1683666828789,9.9261733895019
"A1BG-AS1",0,25.4460092302601,0.205370420054799
"LINC01480",28.1099855931304,5.47571266715371,0
"CCL5",970.29282719825,14948.8639572206,4299.38607187896
"AC005383.1",17.65209781462,0.618607655022198,1.026852100274
"AC127002.2",8.8754022218399,0.897015907762754,0
"SEC22B4P",0,40.3530119981962,25.6912788988855
"H3C7",98.5403631950137,7.13091121991617,24.5335173996458
"AC007485.2",1.24530012607259,10.7085489216667,36.0905892506926
"AC018628.2",13.5457181620637,1.75474385703826,0.190113707008162
"Z98885.3",13.1232708050663,0.37333592976028,0.574564674269853
