"","MeanPP","MeanMM","MeanMP"
"CD79B",2.21869374317123,308.907661160914,45.4521862881238
"CRY1",0,226.242722649478,45.1414140515755
"PLEKHB1",0,75.568248810154,75.7734491554131
"OSBPL5",0,131.019341118571,38.6138295324314
"POU2F2",0,19.9634170921151,10.6664446838326
"IKZF2",0.107377892008765,95.5004477226466,0.190113707008162
"ADAM28",1.13672697564058,332.409757530082,351.784900834196
"TMCC3",0.762459026624581,55.4759735683194,0.190113707008162
"PRKCQ",0.107377892008765,411.972120717509,198.635577742965
"MNT",50.2751845112917,11.9274616007108,2.35635502267586
"ASNS",0.739564581057077,181.866522639204,132.110151640552
"ATP2A3",16.8962620904493,897.619567804644,460.947577822895
"APBB1IP",53.6630723253235,950.79390982387,399.637006346218
"PIAS2",15.5904281630029,224.29597881595,169.705059291383
"LAMP3",0,44.9629462960294,0
"IL12RB2",0,364.419329420228,27.4971427546183
"ITGB5",455.885417912217,25.5102619819317,291.967519241286
"P2RX5",0,48.5793753568696,0
"PHGDH",0,59.132668796399,0
"HSD3B7",1119.27195834409,17.7211814518725,354.201389337801
"PIK3IP1",254.703446227872,2693.93403877324,770.58182966627
"TPTEP1",466.778816933069,27.4150245068414,119.576554718896
"MLC1",0,195.312715076437,0
"CD40LG",0,64.2636249916612,0
"VWA8",4.1504984553367,87.9639183501772,79.6681659062078
"LILRB1",1163.83119992891,6.39381535301173,371.329737886715
"IL27RA",87.544152698638,1294.77524500101,641.427310007424
"LIM2",830.644053134156,52.6388094246664,400.671127013349
"CORO2A",0.751645244061358,164.496423757945,88.4337069322664
"VSIR",126.400110981499,3044.89564003654,1654.20468498592
"INPP4B",0,365.631100072756,144.788931828746
"JHY",0,39.3274828004549,31.4052812890846
"PRPF40B",0,26.7068606839068,25.5931420649123
"VNN2",0,255.084418856616,179.721152604938
"SLC35F5",25.5575172264951,215.046902947861,338.180904427387
"LEPR",0.107377892008765,27.5000704763337,97.8563580520704
